rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_score,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0000,291.934230,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,0.9690,291.934230,48.141651,15.347
3,10811496,K00753.01,,FALSE POSITIVE,0.0000,297.004820,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,0.0000,285.534610,48.285210,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0000,288.754880,48.226200,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0000,296.286130,48.224670,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0000,296.286130,48.224670,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,0.9920,296.286130,48.224670,15.714
9,6721123,K00114.01,,FALSE POSITIVE,0.0000,298.864350,42.151569,12.660
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0000,286.999480,48.375790,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,0.8110,286.808470,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0000,292.247280,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,0.9980,281.288120,42.451080,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0000,295.648710,48.495560,12.772
15,10419211,K00742.01,,FALSE POSITIVE,0.0000,297.079930,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,0.0000,289.258210,47.635319,15.487
17,10480982,K00744.01,,FALSE POSITIVE,0.0000,295.814540,47.690350,15.341
18,10485250,K00745.01,,FALSE POSITIVE,0.0000,297.154420,47.668701,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0000,288.138240,47.724449,15.302
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0000,283.710880,47.863270,15.784
21,10583180,K00748.01,,FALSE POSITIVE,0.0000,283.765470,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0000,292.376130,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,0.9800,292.376130,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,0.9710,292.376130,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,,292.273740,37.671558,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0000,290.465120,47.929180,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,1.0000,297.808260,47.946671,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,1.0000,294.265810,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,0.0000,295.665220,49.351009,15.525
30,11465813,K00771.01,,FALSE POSITIVE,0.0000,296.698610,49.316479,15.207
31,11493732,K00772.01,,FALSE POSITIVE,0.0000,283.725920,49.479519,15.250
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,1.0000,291.722020,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,0.9920,286.999480,48.375790,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,1.0000,286.999480,48.375790,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,1.0000,297.025630,48.478588,15.390
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,1.0000,285.718540,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,0.9780,285.718540,48.505859,15.082
38,11138155,K00760.01,,CANDIDATE,1.0000,292.167050,48.727589,15.263
39,11152159,K00761.01,,FALSE POSITIVE,0.0000,297.923650,48.777321,15.540
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,1.0000,298.456850,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,0.0000,291.093900,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,1.0000,287.887330,46.276241,12.791
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,0.9980,295.555050,49.017342,15.400
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,1.0000,285.499240,49.277351,15.317
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,1.0000,291.936160,49.253979,15.506
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,1.0000,297.015470,49.225288,15.052
47,11442465,K00768.01,,FALSE POSITIVE,0.0000,284.172330,49.360722,15.716
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,1.0000,291.622410,50.618240,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,1.0000,295.816160,51.121738,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,1.0000,295.816160,51.121738,15.367
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,1.0000,289.399720,51.250320,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,1.0000,300.863980,44.337551,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,1.0000,287.887330,46.276241,12.791
54,11656840,K00774.01,,FALSE POSITIVE,0.0140,288.986820,49.733742,15.270
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,1.0000,286.738040,49.975750,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,1.0000,286.738040,49.975750,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,1.0000,286.738040,49.975750,15.095
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,1.0000,290.785740,50.054119,15.523
59,11818800,K00777.01,,CANDIDATE,0.9990,294.316860,50.080231,15.487
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,1.0000,285.176210,50.149818,15.135
61,11909839,K00779.01,,FALSE POSITIVE,0.0000,289.235530,50.241001,15.562
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,1.0000,293.833310,50.230350,15.334
63,11918099,K00780.02,,CANDIDATE,0.9930,293.833310,50.230350,15.334
64,9579641,K00115.03,,CANDIDATE,0.8710,287.887330,46.276241,12.791
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,1.0000,296.221950,50.287220,15.937
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,1.0000,290.098050,50.321609,15.312
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,1.0000,295.455290,50.494560,15.080
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,1.0000,293.973360,50.531910,15.385
